title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
2547,ยอดคนเลเวลทะลุ,FANTASY,"ซองบุลเยจอง,MINo,ฮงชิล",THURSDAY,56,302181,9.66,15434864,429751,ONGOING,False,"ในระหว่างที่คิมกิบงถูกขังใน ""พื้นที่สำหรับปลุกพลัง"" เป็นเวลา 3,000 ปีเนื่องจากเกิดข้อผิดพลาดที่ไม่รู้สาเหตุ เวลาในโลกจริงก็ผ่านไปแล้ว 10 ปี เมื่อคิมกิบงออกมาได้โลกก็กลายเป็นนรกที่มีมอนสเตอร์และดันเจี้ยนเต็มไปหมด การต่อสู้ของคิมกิบงเพื่อฟื้นฟูให้โลกกลับสู่สภาพเดิมเริ่มต้นแล้ว!"
2525,การศึกษาที่แท้จริง,ACTION,"ฮันการัม,แชยงแทก",SUNDAY,58,502073,9.9,31200394,1100048,ONGOING,False,"หลังจากมีการประกาศใช้กฎหมายห้ามลงโทษนักเรียนในปี 2011 ที่ทำให้เหล่าครูอาจารย์ไม่สามารถทำโทษนักเรียนได้ด้วยการตีอีกต่อไป รัฐสภาและกระทรวงศึกษาธิการรับรู้ถึงความรุนแรงของความผุพังในสถานศึกษาทำให้ ""กฎหมายคุ้มครองอำนาจหน้าที่ของครูอาจารย์ ฉบับปฏิรูป"" ได้รับอนุมัติ"
2524,Playlist สื่อรัก,ROMANCE,2F,THURSDAY,58,100867,9.79,4033020,212249,ONGOING,False,"""เลวี่"" สมาชิกไอดอลระดับท็อปมาฟอลโล่วแอคเคาท์ฉัน?!"
2513,ชั่วโมงที่ 25,ROMANCE,VICMON,SATURDAY,3,67371,9.61,1659091,81262,COMPLETED,True,"ในคืนวันหนึ่ง ""วี่"" ค้นพบว่าตัวเองได้หลุดเข้ามาในโลกของชั่วโมงที่ 25 ในชั่วโมงที่ 25 นี้ทุกอย่างล้วนหยุดนิ่ง ทั้งผู้คน และเวลา ในตอนที่เธอยังไม่ทันเข้าใจว่าเกิดอะไรขึ้น ก็พบว่ามี ""สกาย"" ยังคงเคลื่อนไหวได้เช่นกัน แต่เธอดันไปบันทึกเหตุการณ์ที่เขากำลังจะเอาคัตเตอร์แทงผู้ชายอีกคนเอาไว้ได้ หลังจากนั้นชีวิตของวี่จะต้องเข้ามาพัวพันกับสกาย ชายหนุ่มสุดฮอตของมหาลัย โดยที่ ""สกายกับวี่"" จะต้องใช้เวลาร่วมกันในชั่วโมงที่ 25 นี้ ทั้งในแง่โรแมนติกและอันตรายไปด้วยกัน"
2512,เสี่ยงหัวใจมารักนายต้องคำสาป,ROMANCE,แมวอ้วนถลาลม,SUNDAY,52,115990,9.65,3917628,172236,ONGOING,False,"""'เมย์ริน"" หญิงสาวที่สูญเสียความทรงจำได้มาพบกับ 'วินเทอร์' ชายหนุ่มผู้ต้องคำสาป ด้วยความที่เมย์รินอยากให้วินเทอร์มีความสุข เธอจึงคิดหาหนทางที่จะช่วยเหลือเขา แต่หารู้หรือไม่ว่านั่นเป็นจุดเริ่มต้นที่จะเปลี่ยนโชคชะตาของเธอไปตลอดกาล"
2500,พระรองคนนั้น ฉันขอเถอะนะ,ROMANTIC_FANTASY,"Hwang DoTol,จองซอ",FRIDAY,54,234188,9.8,12748732,652036,ONGOING,False,ฉันเข้ามาอยู่ในนิยาย <บทเพลงแห่งอัสก้า> เป็นเจ้าหญิงคนสุดท้องของประเทศเล็กๆ ตัวละครทุกตัวในนิยายเรื่องนี้ต่างอยู่กันอย่างมีความสุขยกเว้นคนเดียว...พระรองสุดที่รักของฉัน
2499,อาร์ติแฟกต์ถล่มดันเจี้ยน,ACTION,"Zerowater,UMKY",MONDAY,58,192056,9.72,9724585,260316,ONGOING,False,"ดันเจี้ยนที่เพิ่มความแข็งแกร่งให้กับตัวมันเองด้วยพลังของสิ่งมีชีวิตทั้งหลายที่ล้มตาย ที่ใจกลางนั่นจะมี ""อาร์ติแฟกต์"" ซึ่งเป็นหัวใจของดันเจี้ยนฝังอยู่"
2498,Psycho Revenge,ACTION,"กีซง,เนมกา",THURSDAY,39,124272,9.86,4361392,156703,ONGOING,False,"""ชาซองบิน"" เด็กหนุ่มที่สูญเสียน้องสาวผู้เป็นครอบครัวคนเดียวที่เขามีอยู่ไปเพราะอันธพาลที่พยายามเรียกเรตติ้งให้ตัวเอง ตั้งแต่นั้นมาเขาได้กลายเป็น ""นีออน มาสก์"" เพื่อล้างแค้นนักเลงทั่วสาธารณรัฐเกาหลีไปกับกลุ่มของเขา เขาจะไม่หยุดจนกว่านักเลงทั่วประเทศจะหมดไป"
2497,Princess without a heart เจ้าหญิงและหัวใจที่หายไป,ROMANCE,Lingling44,WEDNESDAY,22,86419,9.89,1943384,98398,ONGOING,False,"'ชารอน' เจ้าหญิงผู้สูงศักดิ์แห่งเมืองมนุษย์ตัดสินใจละทิ้งหัวใจของตนไป แต่แล้วสิ่งสำคัญในชีวิตของเธอก็กลับโผล่มาทำให้ความคิดต้องแปรเปลี่ยนอีกครั้ง
เรื่องราวจะเป็นอย่างไรถ้าผู้ที่สอนให้เจ้าหญิงได้รู้จักกับความรักนั้นไม่ใช่เจ้าชายแต่กลับกลายเป็นจอมมารผู้ชั่วร้ายแทน...?"
2496,100 ภารกิจเปลี่ยนชีวิตผมกับคุณครู,HEARTWARMING,คงไคย,TUESDAY,50,31432,9.62,1368924,67469,ONGOING,False,"ขอแค่เพียงลองก้าวเท้าออกนอกเขตปลอดภัยของตัวเอง ก็จะพบว่าโลกนี้ยังมีสิ่งมหัศจรรย์อีกมากมายรอให้เราได้ค้นหา

เรื่องราวสุดอบอุ่นหัวใจของ ""เดช"" นักเรียนหนุ่มหน้าง่วงผู้เก่งแต่เรื่องต่อยตี และ ""ครูออย"" ครูสาวสุดเข้มงวดที่ภายในแสนขี้กลัว กับภารกิจตามหาเป้าหมายในชีวิตให้เดช เงื่อนไขคือคุณครูสาวจะพานักเรียนหนุ่มไปทำกิจกรรมต่างๆ จำนวน 100 ภารกิจ หากครบ 100 ภารกิจแล้ว เดชยังหาเป้าหมายในชีวิตไม่ได้  ครูออยจะขอลาออกจากการเป็นครู

"
